fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,July,17,MADHYA PRADESH,1734,NARSINGHPUR,745995,222.730424174465,34,75,194.2120791,2478,1,9181,839183,134697,26913,153522,29206,388.45488,2451.782815,24192,35272,81500,151757,34,141816,250569,11659,1869.115856,296380,53,33.64,42.33,99.93,NA
2024-2025,July,17,MADHYA PRADESH,1737,SEONI,3258434,209.342489161039,32,2338,694.2954983,2900,0,16883,3521094,408649,57691,1695554,215226,480.27808,8545.719404,106790,172080,194818,464269,524,221128,521768,19783,7371.145825,1988271,62,46.65,38.83,99.83,NA
2024-2025,July,17,MADHYA PRADESH,1738,BALAGHAT,4229822,234.821423310252,24,4474,926.2684878,4282,2,19071,3464733,161674,27966,940704,128845,628.89029,9691.094122,141177,198049,273525,582974,204,312133,657516,23353,8135.935345,2169220,63,26.27,44.51,99.97,NA
2024-2025,July,17,MADHYA PRADESH,1741,NEEMUCH,693414,242.294347675288,35,219,127.6842674,1350,0,5658,614119,53506,12973,40609,10100,164.78395,1780.443842,17063,22232,48792,105786,27,88652,191075,7008,1487.975625,189052,49,24.3,29.82,99.69,NA
2024-2025,July,17,MADHYA PRADESH,1742,BARWANI,1321722,217.821790888587,22,336,247.63925,5672,0,13862,856223,79726,34150,655416,231402,338.31025,2450.98977260098,37239,61597,133130,306450,99,203665,452398,19534,1865.04027259998,364821,74,22.08,64.33,99.74,NA
2024-2025,July,17,MADHYA PRADESH,1744,KATNI ,1998985,197.424004870998,25,391,277.3718627,1563,0,7654,1602546,259552,47739,492442,85432,344.36657,3785.54892581599,62130,85789,141556,299519,37,167408,355448,9217,3163.81049309999,936608,44,15.25,57.69,99.99,NA
2024-2025,July,17,MADHYA PRADESH,1750,SINGRAULI,1933831,240.896852686881,32,544,497.0502186,4282,0,13179,1659730,235149,34938,503018,67381,251.56168,4746.84923172798,51431,74429,119579,211271,104,163772,283330,17461,3998.23733309998,698930,71,24.2,65.48,99.95,NA
2024-2025,July,17,MADHYA PRADESH,1705,SHIVPURI,3692668,245.614928033883,37,374,830.2918524,4538,0,27010,3261118,469842,54628,626216,52441,506.99338,9347.07786119999,87050,116712,188976,326224,71,305452,566875,31548,8009.79262879999,1323230,70,13.74,47.61,99.86,NA
2024-2025,July,17,MADHYA PRADESH,1710,SAGAR,1602595,244.123904243832,30,165,369.5696096,3668,10,18315,1202074,131297,37296,130884,34170,664.98164,3969.10123,39484,52712,156728,267269,40,276947,477002,21983,2934.549981,381710,70,34.75,38.12,99.84,NA
2024-2025,July,17,MADHYA PRADESH,1712,SATNA,1651680,203.476425234268,34,283,335.0105441,2814,0,11886,1576190,264539,47137,294009,50702,530.74344,4072.929051,46027,65668,135208,248083,50,202101,372506,14700,3207.175067,655010,48,21.58,56.11,99.93,NA
